body,brain,animal
3.385,44.5,Arctic fox
0.48,15.5,Owl monkey
1.35,8.1,Mountain beaver
465,423,Cow
36.33,119.5,Grey wolf
27.66,115,Goat
14.83,98.2,Roe deer
1.04,5.5,Guinea pig
4.19,58,Verbet
0.425,64,Chinchilla
0.101,4,Ground squirrel
0.92,5.7,Arctic ground squirrel
1,6.6,African giant pouched rat
0.005,0.14,Lesser short-tailed shrew
0.06,1,Star-nosed mole
3.5,10.8,Nine-banded armadillo
2,12.3,Tree hyrax
1.7,6.3,N.A. opossum
2547,4603,Asian elephant
0.023,0.3,Big brown bat
187.1,419,Donkey
521,655,Horse
0.785,3.5,European hedgehog
10,115,Patas monkey
3.3,25.6,Cat
0.2,5,Galago
1.41,17.5,Genet
529,680,Giraffe
207,406,Gorilla
85,325,Grey seal
0.75,12.3,Rock hyrax-a
62,1320,Human
6654,5712,African elephant
3.5,3.9,Water opossum
6.8,179,Rhesus monkey
35,56,Kangaroo
4.05,17,Yellow-bellied marmot
0.12,1,Golden hamster
0.023,0.4,Mouse
0.01,0.25,Little brown bat
1.4,12.5,Slow loris
250,490,Okapi
2.5,12.1,Rabbit
55.5,175,Sheep
100,157,Jaguar
52.16,440,Chimpanzee
10.55,179.5,Baboon
0.55,2.4,Desert hedgehog
60,81,Giant armadillo
3.6,21,Rock hyrax-b
4.288,39.2,Raccoon
0.28,1.9,Rat
0.075,1.2,E. American mole
0.122,3,Mole rat
0.048,0.33,Musk shrew
192,180,Pig
3,25,Echidna
160,169,Brazilian tapir
0.9,2.6,Tenrec
1.62,11.4,Phalanger
0.104,2.5,Tree shrew
4.235,50.4,Red fox
